CustomerKey,GeographyKey,CustomerAlternateKey,Title,FirstName,MiddleName,LastName,NameStyle,EmailAddress,Phone
1,1,AW00000001,null,Ken,J,Sánchez,0,ken0@adventure-works.com,697-555-0142
2,2,AW00000002,null,Terri,Lee,Duffy,0,terri0@adventure-works.com,819-555-0175
3,3,AW00000003,null,Roberto,null,Tamburello,0,roberto0@adventure-works.com,212-555-0187
4,4,AW00000004,null,Rob,null,Walters,0,rob0@adventure-works.com,612-555-0100
5,5,AW00000005,Ms.,Gail,A,Erickson,0,gail0@adventure-works.com,849-555-0139
6,6,AW00000006,Mr.,Jossef,H,Goldberg,0,jossef0@adventure-works.com,122-555-0189
7,7,AW00000007,null,Dylan,A,Miller,0,dylan0@adventure-works.com,181-555-0156
8,8,AW00000008,null,Diane,L,Margheim,0,diane1@adventure-works.com,815-555-0138
9,9,AW00000009,null,Gigi,N,Matthew,0,gigi0@adventure-works.com,185-555-0186
10,10,AW00000010,null,Michael,null,Raheem,0,michael6@adventure-works.com,330-555-2568
11,11,AW00000011,null,Ovidiu,V,Cracium,0,ovidiu0@adventure-works.com,719-555-0181
12,12,AW00000012,null,Thierry,B,D'Hers,0,thierry0@adventure-works.com,168-555-0183
13,13,AW00000013,Ms.,Janice,M,Galvin,0,janice0@adventure-works.com,473-555-0117
14,14,AW00000014,null,Michael,I,Sullivan,0,michael8@adventure-works.com,465-555-0156
15,15,AW00000015,null,Sharon,B,Salavaria,0,sharon0@adventure-works.com,970-555-0138
16,16,AW00000016,null,David,M,Bradley,0,david0@adventure-works.com,913-555-0172
17,17,AW00000017,null,Kevin,F,Brown,0,kevin0@adventure-works.com,150-555-0189
18,18,AW00000018,null,John,L,Wood,0,john5@adventure-works.com,486-555-0150
19,19,AW00000019,null,Mary,A,Dempsey,0,mary2@adventure-works.com,124-555-0114
20,20,AW00000020,null,Wanida,M,Benshoof,0,wanida0@adventure-works.com,708-555-0141
21,21,AW00000021,null,Terry,J,Eminhizer,0,terry0@adventure-works.com,138-555-0118
22,22,AW00000022,null,Sariya,E,Harnpadoungsataya,0,sariya0@adventure-works.com,399-555-0176
23,23,AW00000023,null,Mary,E,Gibson,0,mary0@adventure-works.com,531-555-0183
24,24,AW00000024,Ms.,Jill,A,Williams,0,jill0@adventure-works.com,510-555-0121
25,25,AW00000025,null,James,R,Hamilton,0,james1@adventure-works.com,870-555-0122
26,26,AW00000026,null,Peter,J,Krebs,0,peter0@adventure-works.com,913-555-0196
27,27,AW00000027,null,Jo,A,Brown,0,jo0@adventure-works.com,632-555-0129
28,28,AW00000028,null,Guy,R,Gilbert,0,guy1@adventure-works.com,320-555-0195
29,29,AW00000029,null,Mark,K,McArthur,0,mark1@adventure-works.com,417-555-0154
30,30,AW00000030,null,Britta,L,Simon,0,britta0@adventure-works.com,955-555-0169
31,31,AW00000031,null,Margie,W,Shoop,0,margie0@adventure-works.com,818-555-0128
